row_id,approx_timestamp,sender,intent,item,category,price,content
94,2026-04-26 20:59:05,04yyyy,出,瑜伽垫泡沫轴狼牙棒,sports,30,出瑜伽垫泡沫轴狼牙棒 打包30r
95,2026-04-26 22:25:55,04yyyy,出,厨房用品、收纳,furniture,20,出厨房用品、收纳 、小型消毒机
96,2026-04-26 23:52:45,04yyyy,出,只剩半卷保鲜膜,other,3,只剩半卷保鲜膜 3r出
97,2026-04-27 01:19:35,Ryan,出,潘海利根琴酒,other,1300,出潘海利根琴酒 未开封100ml 折价1300出
98,2026-04-27 08:33:45,happy（期末考试显化中）,出,山姆提拉米苏,food,6.8,出刚到的山姆提拉米苏，一个6.8r
99,2026-04-27 12:54:15,Evadne,收,DDA4002 final sample,other,20,收dda4002 随机模拟的final sample，一份20
100,2026-04-27 14:21:05,stupid child,出,17 Pro Max钢化膜+手机壳,other,5/3,出17promax的绿联钢化膜（5r）和手机壳（3r），买错型号了退也麻烦
101,2026-04-27 15:47:55,stupid child,出,洗护用品/面膜/数据线,other,10/20,出沐浴露、爽肤水、牙膏（全新）科颜氏泥膜和水杨酸膜（这个不全新 但余量很多），基本5折起！ 还有两条苹果lighting数据线，一条慢充（10r，我没相关设备可以试试能不能用，如果你拿回去用不了我给你退钱），一条快充成色还比较新（20r） 有卖有送！
102,2026-04-27 20:08:25,syutning_,出,44x30x20cm衣物收纳箱,furniture,10,44*30*20cm衣服收纳 合适衣柜尺寸 10r一个 共3个
103,2026-04-27 21:35:15,syutning_,出,45x25x18cm衣物收纳箱,furniture,10,45*25*18cm衣服收纳 10r一个 共4个
104,2026-04-28 03:22:36,anna.,出,收纳柜+收纳盒,furniture,30/10,出收纳柜和收纳盒，收纳柜30r一个，收纳盒10r一个，各有三个
105,2026-04-28 04:49:26,syutning_,出,永璞茶咖冷萃,other,2,永璞茶咖冷萃 2r一条共5条
106,2026-04-28 06:16:16,Sabrina,出,印尼现金/印尼盾/转换器插头,other,15/10,有没有近期要去印尼的朋友 15rmb出 15人民币现金+不到10 rmb的印尼盾+ 印尼转换器插头
107,2026-04-28 07:43:06,Sabrina,出,被子,other,30,有人要被子吗 用了一学期 可以放洗衣机洗了再给你 30 rmb
108,2026-04-28 09:09:56,！,收,祥波毕业晚宴的票,tickets,40,收一张祥波毕业晚宴的票
109,2026-04-28 10:36:46,Uyisnehk,收,斯汀毕业晚宴的票,tickets,40,收一张斯汀毕业晚宴的票
110,2026-04-29 01:05:06,Liujq_1,出,床上小桌子,furniture,10,出床上小桌子 10块钱
111,2026-04-29 06:52:26,Milky Way,送,香水,beauty,575,送一瓶真假难辨的大地（拿真香水换的）道扬自取
112,2026-04-29 12:39:47,正合适🍧,出,东方甄选黑猪午餐肉,other,30,东方甄选黑猪午餐肉 保质期到年底 未拆封 30r
113,2026-04-29 14:06:37,Uyisnehk,出,电动车,electronics,1000,出带校内牌电动车（非国标 有假白牌但是被人撞碎了只剩一个角） 去年12月底新换电池 最高速度35（下坡可达40） 马力很足接近一个月充一次电 车身有点小破损但完全不影响任何功能
114,2026-04-29 15:33:27,Danial Wong,收,小煎锅和小蒸笼……,kitchen,25,收个小煎锅和小蒸笼……
115,2026-04-29 18:27:07,王蹄蹄,拼单,卡乐比薯条,service,8,拼卡乐比薯条，山姆刚买回来。每盒5小袋
116,2026-04-29 19:53:57,Liujq_1,收,电饭锅,kitchen,50,收个电饭锅
117,2026-04-29 22:47:37,Sabrina,出,学校周边雨伞,other,2,出一个学校周边 雨伞 2 rmb
118,2026-04-30 01:41:17,Sabrina,出,蓝色小裙子,fashion,20,出个蓝色小裙子 实体店买的 只穿过一次 20 rmb
119,2026-04-30 04:34:57,Sabrina,出,学校oal防水包,fashion,5,学校oal防水包 5rmb
120,2026-04-30 06:01:47,Sabrina,出,头发护理乳,other,5,头发护理乳 5 rmb
121,2026-04-30 07:28:37,happy（期末考试显化中）,出,刚到的山姆香蕉可丽饼,food,8.8,出刚到的山姆香蕉可丽饼 一块8.8r
122,2026-04-30 10:22:17,zoowelike,送,一个小米14Pro竖中指子宫手机壳,other,15,免费送一个小米14Pro竖中指子宫手机壳。买错型号了..
123,2026-04-30 11:49:07,考,出,欧莱雅小银管防晒,beauty,110,出欧莱雅小银管防晒，正装*1➕小样7.5ml*4，有效期至2029.2.9，下园自取，💰110
124,2026-04-30 13:15:57,elnipink,出,BA II Plus金融计算器,electronics,100,出德州ba II plus 金融计算器 100r
125,2026-04-30 14:42:47,happy（期末考试显化中）,出,山姆香蕉可丽饼,food,8,出山姆香蕉可丽饼 一块8r
126,2026-04-30 19:03:18,PERSUADE🌝,出,Woodwick黑樱桃香薰蜡烛,other,80,出Woodwick黑樱桃香薰蜡烛 80r 带礼盒
127,2026-04-30 20:30:08,不高兴,出,植村秀持妆粉底液574小样,other,10,植村秀持妆粉底液574小样，今年1.17购入，余一半，10r
128,2026-05-01 02:17:28,少抓魚,出,富士胶片机,other,120,富士胶片机，全新120r，可小刀
129,2026-05-01 05:11:08,Iefiynij🍨,出,字典/书籍,books,30/10,字典30r 其他10r一本
130,2026-05-01 08:04:48,Iefiynij🍨,出,一盒口罩,food,10,一盒口罩10r
131,2026-05-01 10:58:28,Iefiynij🍨,出,牙膏,other,10,牙膏10r
132,2026-05-01 13:52:08,Iefiynij🍨,出,皮革清洁剂,other,5,皮革清洁剂余90% 5r
133,2026-05-01 16:45:48,happy（期末考试显化中）,出,卡诗黑钻护发精油30ml,beauty,60,卡诗黑钻护发精油30ml 使用五次左右 60r
134,2026-05-01 19:39:28,熊小珺💓,出,书,books,10,出书 价格可议
135,2026-05-01 21:06:18,青鸟,收,收纳箱,furniture,15,收收纳箱
